filename	region	type	sv_count	length	length_mb	count_per_mb
6365A	centromere	DEL	2043	144940997.05	144.94099705	14.095390825104
6365A	centromere	INS	1474	144940997.05	144.94099705	10.1696554460124
6365A	centromere	INV	6	144940997.05	144.94099705	0.0413961551398062
6365A	interstitial	DEL	11134	2579949747.49	2579.94974749	4.31558793376969
6365A	interstitial	DUP	14	2579949747.49	2579.94974749	0.00542646228424427
6365A	interstitial	INS	10218	2579949747.49	2579.94974749	3.96054225860056
6365A	interstitial	INV	49	2579949747.49	2579.94974749	0.0189926179948549
6365A	telomere	DEL	3965	173929196.46	173.92919646	22.7966326568516
6365A	telomere	DUP	5	173929196.46	173.92919646	0.0287473299581988
6365A	telomere	INS	3303	173929196.46	173.92919646	18.9904861703861
6365A	telomere	INV	1	173929196.46	173.92919646	0.00574946599163976
6414C	centromere	DEL	1782	144940997.05	144.94099705	12.2946580765225
6414C	centromere	DUP	1	144940997.05	144.94099705	0.00689935918996771
6414C	centromere	INS	1331	144940997.05	144.94099705	9.18304708184702
6414C	centromere	INV	5	144940997.05	144.94099705	0.0344967959498385
6414C	interstitial	DEL	10451	2579949747.49	2579.94974749	4.05085409518834
6414C	interstitial	DUP	18	2579949747.49	2579.94974749	0.00697688007974263
6414C	interstitial	INS	9434	2579949747.49	2579.94974749	3.65666037068289
6414C	interstitial	INV	46	2579949747.49	2579.94974749	0.0178298046482312
6414C	telomere	DEL	3616	173929196.46	173.92919646	20.7900690257694
6414C	telomere	DUP	1	173929196.46	173.92919646	0.00574946599163976
6414C	telomere	INS	3014	173929196.46	173.92919646	17.3288904988022
6414C	telomere	INV	1	173929196.46	173.92919646	0.00574946599163976
6423A	centromere	DEL	1407	144940997.05	144.94099705	9.70739838028456
6423A	centromere	INS	1067	144940997.05	144.94099705	7.36161625569554
6423A	centromere	INV	4	144940997.05	144.94099705	0.0275974367598708
6423A	interstitial	DEL	9967	2579949747.49	2579.94974749	3.86325354193304
6423A	interstitial	DUP	6	2579949747.49	2579.94974749	0.00232562669324754
6423A	interstitial	INS	9052	2579949747.49	2579.94974749	3.50859547121279
6423A	interstitial	INV	12	2579949747.49	2579.94974749	0.00465125338649508
6423A	telomere	DEL	3141	173929196.46	173.92919646	18.0590726797405
6423A	telomere	DUP	2	173929196.46	173.92919646	0.0114989319832795
6423A	telomere	INS	2679	173929196.46	173.92919646	15.4028193916029
6436B	centromere	DEL	1729	144940997.05	144.94099705	11.9289920394542
6436B	centromere	INS	1213	144940997.05	144.94099705	8.36892269743083
6436B	centromere	INV	6	144940997.05	144.94099705	0.0413961551398062
6436B	interstitial	DEL	10465	2579949747.49	2579.94974749	4.05628055747259
6436B	interstitial	DUP	8	2579949747.49	2579.94974749	0.00310083559099672
6436B	interstitial	INS	9405	2579949747.49	2579.94974749	3.64541984166552
6436B	interstitial	INV	26	2579949747.49	2579.94974749	0.0100777156707393
6436B	telomere	DEL	3520	173929196.46	173.92919646	20.2381202905719
6436B	telomere	DUP	3	173929196.46	173.92919646	0.0172483979749193
6436B	telomere	INS	2906	173929196.46	173.92919646	16.7079481717051
6436B	telomere	INV	3	173929196.46	173.92919646	0.0172483979749193
6439C	centromere	DEL	2397	144940997.05	144.94099705	16.5377639783526
6439C	centromere	DUP	2	144940997.05	144.94099705	0.0137987183799354
6439C	centromere	INS	1723	144940997.05	144.94099705	11.8875958843144
6439C	centromere	INV	7	144940997.05	144.94099705	0.0482955143297739
6439C	interstitial	DEL	11761	2579949747.49	2579.94974749	4.55861592321406
6439C	interstitial	DUP	15	2579949747.49	2579.94974749	0.00581406673311886
6439C	interstitial	INS	10759	2579949747.49	2579.94974749	4.17023626544172
6439C	interstitial	INV	92	2579949747.49	2579.94974749	0.0356596092964623
6439C	telomere	DEL	3851	173929196.46	173.92919646	22.1411935338047
6439C	telomere	DUP	3	173929196.46	173.92919646	0.0172483979749193
6439C	telomere	INS	3262	173929196.46	173.92919646	18.7547580647289
6439C	telomere	INV	4	173929196.46	173.92919646	0.022997863966559
6478A	centromere	DEL	1993	144940997.05	144.94099705	13.7504228656056
6478A	centromere	DUP	2	144940997.05	144.94099705	0.0137987183799354
6478A	centromere	INS	1453	144940997.05	144.94099705	10.0247689030231
6478A	centromere	INV	1	144940997.05	144.94099705	0.00689935918996771
6478A	interstitial	DEL	11190	2579949747.49	2579.94974749	4.33729378290667
6478A	interstitial	DUP	11	2579949747.49	2579.94974749	0.00426364893762049
6478A	interstitial	INS	10373	2579949747.49	2579.94974749	4.02062094817613
