Sample_prefix	chr	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction.x	chr_arm	median_TL	mad_TL	norm_TL	direction.y	direction
6436B	chr3q	5081.41666666667	3	q	5.08141666666667	Negative	chr3q	5180.66666666667	695.799999999999	-0.142641563667721	Negative	Negative
6439C	chr3p	4767.66666666667	3	p	4.76766666666667	Negative	chr3p	6026.88333333334	1509.25	-0.834332725967643	Negative	Negative
6439C	chr3q	6033.26666666667	3	q	6.03326666666667	Negative	chr3q	6026.88333333334	1509.25	0.00422947380045389	Negative	Negative
6478A	chr3p	7234	3	p	7.234	Negative	chr3p	5179.75	1593.75	1.28894117647059	Negative	Negative
6478A	chr3q	5576.5	3	q	5.5765	Negative	chr3q	5179.75	1593.75	0.248941176470588	Negative	Negative
6483C	chr3p	3060	3	p	3.06	Negative	chr3p	5076.5	1412.5	-1.42761061946903	Negative	Negative
6483C	chr3q	5834.5	3	q	5.8345	Negative	chr3q	5076.5	1412.5	0.536637168141593	Negative	Negative
6500D	chr3p	4698	3	p	4.698	Negative	chr3p	5589	821	-1.08526187576127	Negative	Negative
6500D	chr3q	5411.5	3	q	5.4115	Negative	chr3q	5589	821	-0.216199756394641	Negative	Negative
6605D	chr3p	3379.75	3	p	3.37975	Negative	chr3p	5149.625	1144.25	-1.546755516714	Negative	Negative
6605D	chr3q	3096.25	3	q	3.09625	Negative	chr3q	5149.625	1144.25	-1.79451605855364	Negative	Negative
2436A	chr4p	5788.25	4	p	5.78825	Negative	chr4p	5303	1180.08333333333	0.411199774027259	Negative	Negative
2436A	chr4q	4223.91666666667	4	q	4.22391666666667	Positive	chr4q	5303	1180.08333333333	-0.91441282395311	Positive	Neutral
3188	chr4p	2557.83333333333	4	p	2.55783333333333	Negative	chr4p	2824.125	399.5	-0.666562369628711	Negative	Negative
3188	chr4q	4114.5	4	q	4.1145	Positive	chr4q	2824.125	399.5	3.22997496871089	Positive	Neutral
3988	chr4p	4202	4	p	4.202	Negative	chr4p	5689.5	1319.25	-1.12753458404396	Negative	Negative
3988	chr4q	5734.5	4	q	5.7345	Positive	chr4q	5689.5	1319.25	0.0341102899374645	Positive	Neutral
6265D	chr4q	5053.25	4	q	5.05325	Positive	chr4q	5717	1149.5625	-0.577393573642146	Positive	Neutral
6266D	chr4p	6912	4	p	6.912	Negative	chr4p	4866	845.25	2.42058562555457	Negative	Negative
6269C	chr4p	3559.5	4	p	3.5595	Negative	chr4p	4756.8	934.825	-1.2807744765063	Negative	Negative
6269C	chr4q	4636.25	4	q	4.63625	Positive	chr4q	4756.8	934.825	-0.128954617174338	Positive	Neutral
6277A	chr4p	4112.5	4	p	4.1125	Negative	chr4p	5226.83333333333	1114.33333333333	-1	Negative	Negative
6277A	chr4q	4390.5	4	q	4.3905	Positive	chr4q	5226.83333333333	1114.33333333333	-0.750523481902482	Positive	Neutral
6285B	chr4p	3057.75	4	p	3.05775	Negative	chr4p	3274.75	322	-0.673913043478261	Negative	Negative
6285B	chr4q	3066.5	4	q	3.0665	Positive	chr4q	3274.75	322	-0.646739130434783	Positive	Neutral
6298B	chr4p	4737	4	p	4.737	Negative	chr4p	5124.5	926.5	-0.418240690771722	Negative	Negative
6298B	chr4q	5980	4	q	5.98	Positive	chr4q	5124.5	926.5	0.923367512142472	Positive	Neutral
6314E	chr4p	8268	4	p	8.268	Negative	chr4p	4374.5	1163.5	3.3463687150838	Negative	Negative
6324B	chr4p	4548	4	p	4.548	Negative	chr4p	5251.5	871.5	-0.807228915662651	Negative	Negative
6324B	chr4q	5403	4	q	5.403	Positive	chr4q	5251.5	871.5	0.173838209982788	Positive	Neutral
6365A	chr4p	6984	4	p	6.984	Negative	chr4p	4419.25	882.65	2.90573840140486	Negative	Negative
6365A	chr4q	4348.25	4	q	4.34825	Positive	chr4q	4419.25	882.65	-0.0804395853396023	Positive	Neutral
6414C	chr4p	3407.41666666667	4	p	3.40741666666667	Negative	chr4p	3494	384	-0.225477430555546	Negative	Negative
6423A	chr4p	6523	4	p	6.523	Negative	chr4p	4392.25	1132.4375	1.88156079253822	Negative	Negative
6423A	chr4q	4393	4	q	4.393	Positive	chr4q	4392.25	1132.4375	0.000662288205750869	Positive	Neutral
6436B	chr4p	4571.25	4	p	4.57125	Negative	chr4p	5180.66666666667	695.799999999999	-0.87585034013606	Negative	Negative
6436B	chr4q	5689	4	q	5.689	Positive	chr4q	5180.66666666667	695.799999999999	0.730573919708725	Positive	Neutral
6439C	chr4p	7232	4	p	7.232	Negative	chr4p	6026.88333333334	1509.25	0.798487107282866	Negative	Negative
6439C	chr4q	6591	4	q	6.591	Positive	chr4q	6026.88333333334	1509.25	0.373772845232178	Positive	Neutral
6478A	chr4p	3353.33333333333	4	p	3.35333333333333	Negative	chr4p	5179.75	1593.75	-1.14598692810458	Negative	Negative
6478A	chr4q	3031.5	4	q	3.0315	Positive	chr4q	5179.75	1593.75	-1.34792156862745	Positive	Neutral
6483C	chr4p	6787.25	4	p	6.78725	Negative	chr4p	5076.5	1412.5	1.21115044247788	Negative	Negative
6483C	chr4q	5857	4	q	5.857	Positive	chr4q	5076.5	1412.5	0.552566371681416	Positive	Neutral
6500D	chr4p	6665.5	4	p	6.6655	Negative	chr4p	5589	821	1.31120584652862	Negative	Negative
6500D	chr4q	6759.5	4	q	6.7595	Positive	chr4q	5589	821	1.42570036540804	Positive	Neutral
6605D	chr4p	3165	4	p	3.165	Negative	chr4p	5149.625	1144.25	-1.73443303473891	Negative	Negative
6605D	chr4q	5181.25	4	q	5.18125	Positive	chr4q	5149.625	1144.25	0.0276381909547739	Positive	Neutral
2436A	chr5p	6545.75	5	p	6.54575	Positive	chr5p	5303	1180.08333333333	1.05310359437893	Positive	Positive
2436A	chr5q	10542.2083333333	5	q	10.5422083333333	Negative	chr5q	5303	1180.08333333333	4.43969352446859	Negative	Negative
3188	chr5p	3681	5	p	3.681	Positive	chr5p	2824.125	399.5	2.14486858573217	Positive	Positive
3188	chr5q	2158	5	q	2.158	Negative	chr5q	2824.125	399.5	-1.66739674593242	Negative	Negative
3988	chr5p	5688.66666666667	5	p	5.68866666666667	Positive	chr5p	5689.5	1319.25	-0.000631672035876674	Positive	Positive
3988	chr5q	6124.66666666667	5	q	6.12466666666667	Negative	chr5q	5689.5	1319.25	0.329859137136001	Negative	Negative
6265D	chr5p	7076	5	p	7.076	Positive	chr5p	5717	1149.5625	1.1821888762029	Positive	Positive
6266D	chr5p	4185.5	5	p	4.1855	Positive	chr5p	4866	845.25	-0.805087252292221	Positive	Positive
6266D	chr5q	3372	5	q	3.372	Negative	chr5q	4866	845.25	-1.76752440106477	Negative	Negative
6269C	chr5p	5932.5	5	p	5.9325	Positive	chr5p	4756.8	934.825	1.25766854758912	Positive	Positive
6269C	chr5q	3078	5	q	3.078	Negative	chr5q	4756.8	934.825	-1.7958441419517	Negative	Negative
6277A	chr5p	5226.83333333333	5	p	5.22683333333333	Positive	chr5p	5226.83333333333	1114.33333333333	0	Positive	Positive
6277A	chr5q	8993	5	q	8.993	Negative	chr5q	5226.83333333333	1114.33333333333	3.37974872868682	Negative	Negative
6285B	chr5p	3228	5	p	3.228	Positive	chr5p	3274.75	322	-0.145186335403727	Positive	Positive
6285B	chr5q	3251.5	5	q	3.2515	Negative	chr5q	3274.75	322	-0.0722049689440994	Negative	Negative
6298B	chr5p	10733.5	5	p	10.7335	Positive	chr5p	5124.5	926.5	6.05396654074474	Positive	Positive
6298B	chr5q	3698	5	q	3.698	Negative	chr5q	5124.5	926.5	-1.53966540744738	Negative	Negative
6314E	chr5p	9230	5	p	9.23	Positive	chr5p	4374.5	1163.5	4.1731843575419	Positive	Positive
6314E	chr5q	1415	5	q	1.415	Negative	chr5q	4374.5	1163.5	-2.5436183927804	Negative	Negative
6324B	chr5p	4419	5	p	4.419	Positive	chr5p	5251.5	871.5	-0.955249569707401	Positive	Positive
6324B	chr5q	11015.5	5	q	11.0155	Negative	chr5q	5251.5	871.5	6.61388410786001	Negative	Negative
6365A	chr5p	3540	5	p	3.54	Positive	chr5p	4419.25	882.65	-0.996147963518949	Positive	Positive
6365A	chr5q	5311	5	q	5.311	Negative	chr5q	4419.25	882.65	1.01030986234634	Negative	Negative
6414C	chr5p	3302	5	p	3.302	Positive	chr5p	3494	384	-0.5	Positive	Positive
6414C	chr5q	5114.5	5	q	5.1145	Negative	chr5q	3494	384	4.22005208333333	Negative	Negative
6423A	chr5p	9706	5	p	9.706	Positive	chr5p	4392.25	1132.4375	4.69231193774491	Positive	Positive
