"Sample_prefix","chr","final_average_TL_p75","chr_order","arm"
"6365A","chr8q",4360,8,"q"
"6414C","chr8p",3494,8,"p"
"6414C","chr8q",2854.5,8,"q"
"6423A","chr8p",5568.5,8,"p"
"6423A","chr8q",2574,8,"q"
"6436B","chr8p",3351.5,8,"p"
"6436B","chr8q",4448,8,"q"
"6439C","chr8p",8266.5,8,"p"
"6439C","chr8q",2447,8,"q"
"6478A","chr8p",2506,8,"p"
"6478A","chr8q",9318,8,"q"
"6483C","chr8p",6333.5,8,"p"
"6483C","chr8q",4014.5,8,"q"
"6500D","chr8p",5258.75,8,"p"
"6500D","chr8q",4764.5,8,"q"
"6605D","chr8p",5316,8,"p"
"6605D","chr8q",8427,8,"q"
"2436A","chr9p",4389.58333333333,9,"p"
"2436A","chr9q",3546.25,9,"q"
"3188","chr9p",2822.5,9,"p"
"3188","chr9q",3129.7,9,"q"
"3988","chr9p",6700.33333333333,9,"p"
"3988","chr9q",9083.5,9,"q"
"6265D","chr9p",3406.66666666667,9,"p"
"6265D","chr9q",6687,9,"q"
"6266D","chr9p",4410.5,9,"p"
"6266D","chr9q",4862,9,"q"
"6269C","chr9p",3910,9,"p"
"6269C","chr9q",5691.625,9,"q"
"6277A","chr9p",4765.25,9,"p"
"6277A","chr9q",6324.16666666667,9,"q"
"6285B","chr9p",3559,9,"p"
"6285B","chr9q",3186,9,"q"
"6298B","chr9p",4324,9,"p"
"6298B","chr9q",4079,9,"q"
"6314E","chr9p",3437,9,"p"
"6314E","chr9q",1983.75,9,"q"
"6324B","chr9p",5671.66666666667,9,"p"
"6365A","chr9p",4174,9,"p"
"6365A","chr9q",1493.5,9,"q"
"6414C","chr9p",3395,9,"p"
"6423A","chr9p",4032,9,"p"
"6423A","chr9q",4864,9,"q"
"6436B","chr9p",5468.5,9,"p"
"6436B","chr9q",3770.5,9,"q"
"6439C","chr9p",3033,9,"p"
"6439C","chr9q",7025.4,9,"q"
"6478A","chr9p",4708.5,9,"p"
"6478A","chr9q",1570,9,"q"
"6483C","chr9p",3180,9,"p"
"6500D","chr9p",5714.5,9,"p"
"6500D","chr9q",3411,9,"q"
"6605D","chr9p",5118,9,"p"
"6605D","chr9q",5288,9,"q"
"2436A","chr10p",3611.75,10,"p"
"2436A","chr10q",2732.75,10,"q"
"3188","chr10p",2136,10,"p"
"3188","chr10q",3496.5,10,"q"
"3988","chr10p",3769.75,10,"p"
"3988","chr10q",5998.5,10,"q"
"6265D","chr10p",4818,10,"p"
"6265D","chr10q",4609.75,10,"q"
"6266D","chr10p",5948,10,"p"
"6266D","chr10q",5216,10,"q"
"6269C","chr10p",3778.5,10,"p"
"6269C","chr10q",6423.5,10,"q"
"6285B","chr10p",4350,10,"p"
"6285B","chr10q",3308,10,"q"
"6298B","chr10p",4781.5,10,"p"
"6298B","chr10q",5977,10,"q"
"6314E","chr10p",9573,10,"p"
"6314E","chr10q",4313,10,"q"
"6324B","chr10p",5622.5,10,"p"
"6324B","chr10q",4463,10,"q"
"6365A","chr10p",3500.66666666667,10,"p"
"6365A","chr10q",4528.75,10,"q"
"6414C","chr10p",3418,10,"p"
"6414C","chr10q",3135,10,"q"
"6423A","chr10p",3955,10,"p"
"6423A","chr10q",4892,10,"q"
"6436B","chr10p",8161,10,"p"
"6436B","chr10q",6552,10,"q"
"6439C","chr10p",4815.5,10,"p"
"6439C","chr10q",6709.5,10,"q"
"6478A","chr10p",3217,10,"p"
"6478A","chr10q",3380.5,10,"q"
"6483C","chr10p",4391,10,"p"
"6483C","chr10q",7840.5,10,"q"
"6500D","chr10p",4404.66666666667,10,"p"
"6500D","chr10q",5336.5,10,"q"
"6605D","chr10p",3380,10,"p"
"6605D","chr10q",5264.75,10,"q"
"2436A","chr11p",6766,11,"p"
"2436A","chr11q",5303,11,"q"
"3188","chr11p",2651.25,11,"p"
"3188","chr11q",3293,11,"q"
"3988","chr11p",3587,11,"p"
"3988","chr11q",5008.33333333333,11,"q"
"6265D","chr11p",4933,11,"p"
"6265D","chr11q",4069,11,"q"
"6266D","chr11p",4686.25,11,"p"
"6266D","chr11q",6269,11,"q"
"6269C","chr11q",3914,11,"q"
"6277A","chr11p",3009,11,"p"
"6277A","chr11q",2569.25,11,"q"
"6285B","chr11q",2939,11,"q"
"6298B","chr11p",3572,11,"p"
"6298B","chr11q",7347.5,11,"q"
"6314E","chr11q",6660,11,"q"
"6324B","chr11p",11241.5,11,"p"
"6324B","chr11q",7423.5,11,"q"
"6365A","chr11q",4253.25,11,"q"
"6414C","chr11q",3541.5,11,"q"
"6423A","chr11p",6391,11,"p"
"6423A","chr11q",3274.75,11,"q"
"6436B","chr11p",164,11,"p"
"6436B","chr11q",8697,11,"q"
"6439C","chr11p",2171,11,"p"
"6439C","chr11q",6321.25,11,"q"
"6478A","chr11p",3144,11,"p"
"6478A","chr11q",5482.66666666667,11,"q"
"6483C","chr11p",6273.5,11,"p"
"6483C","chr11q",3571.5,11,"q"
"6500D","chr11q",5690,11,"q"
"6605D","chr11p",3181,11,"p"
"6605D","chr11q",2351,11,"q"
"2436A","chr12p",5319.4,12,"p"
"2436A","chr12q",6085,12,"q"
"3188","chr12p",2473.5,12,"p"
"3188","chr12q",2691,12,"q"
"3988","chr12p",8105,12,"p"
"3988","chr12q",4392.5,12,"q"
"6265D","chr12p",6917,12,"p"
"6265D","chr12q",7486,12,"q"
"6266D","chr12p",4092.5,12,"p"
"6266D","chr12q",2331,12,"q"
"6269C","chr12p",4043.16666666667,12,"p"
"6269C","chr12q",4918.75,12,"q"
"6277A","chr12p",6638.75,12,"p"
"6277A","chr12q",6703,12,"q"
"6285B","chr12p",3126.5,12,"p"
"6285B","chr12q",3656,12,"q"
"6298B","chr12p",3916,12,"p"
"6298B","chr12q",5358.5,12,"q"
"6314E","chr12q",8929,12,"q"
"6324B","chr12p",3744.5,12,"p"
"6324B","chr12q",3334,12,"q"
"6365A","chr12p",6876,12,"p"
"6365A","chr12q",4486.5,12,"q"
"6414C","chr12p",3801.5,12,"p"
"6414C","chr12q",3275.25,12,"q"
"6423A","chr12p",4860.5,12,"p"
"6423A","chr12q",5828,12,"q"
"6436B","chr12p",5063.5,12,"p"
"6436B","chr12q",4837.25,12,"q"
"6439C","chr12p",2460,12,"p"
"6439C","chr12q",6020.5,12,"q"
"6478A","chr12p",3972,12,"p"
"6478A","chr12q",6452.5,12,"q"
"6483C","chr12p",5712.5,12,"p"
"6483C","chr12q",3204,12,"q"
"6500D","chr12p",6425.5,12,"p"
"6500D","chr12q",6895.5,12,"q"
"6605D","chr12p",6821.16666666667,12,"p"
"6605D","chr12q",3801.25,12,"q"
"2436A","chr13p",7972.28571428571,13,"p"
"2436A","chr13q",5454,13,"q"
"3188","chr13p",4230.5,13,"p"
"3188","chr13q",3465,13,"q"
"3988","chr13p",8283,13,"p"
"3988","chr13q",5875.33333333333,13,"q"
"6265D","chr13p",3786.5,13,"p"
"6265D","chr13q",11754,13,"q"
"6266D","chr13p",7050,13,"p"
"6266D","chr13q",7529.66666666667,13,"q"
"6269C","chr13p",5922,13,"p"
"6269C","chr13q",5219,13,"q"
"6277A","chr13p",4624,13,"p"
"6277A","chr13q",7173.33333333333,13,"q"
"6285B","chr13p",4943,13,"p"
"6285B","chr13q",4999.5,13,"q"
"6298B","chr13p",4290.75,13,"p"
"6298B","chr13q",5124.5,13,"q"
"6314E","chr13p",4142,13,"p"
"6314E","chr13q",3436,13,"q"
"6324B","chr13p",5372.5,13,"p"
"6365A","chr13p",3575.33333333333,13,"p"
"6365A","chr13q",6328.5,13,"q"
"6414C","chr13p",3878,13,"p"
"6414C","chr13q",3207.5,13,"q"
"6423A","chr13p",3496.5,13,"p"
"6423A","chr13q",3747.5,13,"q"
"6436B","chr13p",4568.5,13,"p"
"6436B","chr13q",8281.5,13,"q"
"6439C","chr13p",6738,13,"p"
"6439C","chr13q",8785,13,"q"
"6478A","chr13p",4677.33333333333,13,"p"
"6478A","chr13q",7644.5,13,"q"
"6483C","chr13q",4782,13,"q"
"6500D","chr13p",4939,13,"p"
"6500D","chr13q",4502,13,"q"
"6605D","chr13p",3483.5,13,"p"
"6605D","chr13q",6952,13,"q"
"2436A","chr14p",9562,14,"p"
"2436A","chr14q",3490.6,14,"q"
"3188","chr14q",2626,14,"q"
"3988","chr14p",5178.25,14,"p"
"3988","chr14q",5690.33333333333,14,"q"
"6265D","chr14p",7839.5,14,"p"
"6265D","chr14q",6329,14,"q"
"6266D","chr14p",3688.75,14,"p"
"6266D","chr14q",5204.75,14,"q"
"6269C","chr14p",5100,14,"p"
"6269C","chr14q",2039,14,"q"
"6277A","chr14p",9466,14,"p"
"6277A","chr14q",3409,14,"q"
"6285B","chr14q",4150,14,"q"
"6298B","chr14p",4711,14,"p"
"6298B","chr14q",7072,14,"q"
"6314E","chr14q",4851,14,"q"
"6324B","chr14p",5932,14,"p"
"6324B","chr14q",5255.5,14,"q"
"6365A","chr14p",3758,14,"p"
"6365A","chr14q",4726.5,14,"q"
"6414C","chr14q",2948.66666666667,14,"q"
"6423A","chr14p",3043,14,"p"
"6423A","chr14q",4391.5,14,"q"
"6436B","chr14p",9276,14,"p"
"6436B","chr14q",5180.66666666667,14,"q"
"6439C","chr14p",4645,14,"p"
"6439C","chr14q",8998,14,"q"
"6478A","chr14p",11270.5,14,"p"
"6478A","chr14q",6185.5,14,"q"
"6483C","chr14p",3343.75,14,"p"
"6483C","chr14q",4236,14,"q"
"6500D","chr14p",6203,14,"p"
"6500D","chr14q",5449.5,14,"q"
"6605D","chr14p",6182.75,14,"p"
"6605D","chr14q",6471.33333333333,14,"q"
"2436A","chr15p",4674.125,15,"p"
"2436A","chr15q",4111.5,15,"q"
"3188","chr15q",1874,15,"q"
"3988","chr15p",5760.5,15,"p"
"3988","chr15q",4054,15,"q"
"6265D","chr15p",4370,15,"p"
"6265D","chr15q",5971,15,"q"
"6266D","chr15p",7711,15,"p"
"6269C","chr15p",6771.66666666667,15,"p"
"6269C","chr15q",3138.5,15,"q"
"6277A","chr15p",6968.75,15,"p"
"6277A","chr15q",7062,15,"q"
"6285B","chr15p",4057,15,"p"
"6285B","chr15q",4122.33333333333,15,"q"
"6298B","chr15p",4159.5,15,"p"
"6298B","chr15q",3357,15,"q"
"6314E","chr15p",2220,15,"p"
"6324B","chr15p",6328,15,"p"
"6324B","chr15q",7624,15,"q"
"6365A","chr15p",2858,15,"p"
"6365A","chr15q",3267.75,15,"q"
"6414C","chr15p",5079.5,15,"p"
"6414C","chr15q",2821,15,"q"
"6423A","chr15q",5248,15,"q"
"6436B","chr15p",4771,15,"p"
"6436B","chr15q",5514,15,"q"
"6439C","chr15p",3084,15,"p"
"6439C","chr15q",5577.66666666667,15,"q"
"6478A","chr15q",4054,15,"q"
"6483C","chr15q",2935,15,"q"
"6500D","chr15p",7689,15,"p"
"6500D","chr15q",6113.25,15,"q"
"6605D","chr15p",5565.75,15,"p"
"6605D","chr15q",4634,15,"q"
"2436A","chr16p",6940.2,16,"p"
"2436A","chr16q",5979,16,"q"
"3188","chr16p",2958,16,"p"
"3188","chr16q",2897.5,16,"q"
"3988","chr16p",6043.5,16,"p"
"3988","chr16q",7737.4,16,"q"
"6265D","chr16p",9536,16,"p"
"6265D","chr16q",4782.5,16,"q"
"6266D","chr16p",5183,16,"p"
"6266D","chr16q",12000.5,16,"q"
"6269C","chr16p",4978.75,16,"p"
"6269C","chr16q",4368.75,16,"q"
"6277A","chr16p",4287.5,16,"p"
"6277A","chr16q",187,16,"q"
"6285B","chr16p",3884,16,"p"
"6285B","chr16q",3144.5,16,"q"
"6298B","chr16p",5419,16,"p"
"6298B","chr16q",6612.25,16,"q"
"6314E","chr16p",5846,16,"p"
"6324B","chr16p",6613.66666666667,16,"p"
"6324B","chr16q",4127,16,"q"
"6365A","chr16p",4636.25,16,"p"
"6365A","chr16q",4518.5,16,"q"
"6414C","chr16p",3283,16,"p"
"6414C","chr16q",4629,16,"q"
"6423A","chr16p",4192.33333333333,16,"p"
"6423A","chr16q",3933,16,"q"
"6436B","chr16p",5973,16,"p"
"6436B","chr16q",4484.86666666667,16,"q"
"6439C","chr16p",7114,16,"p"
"6439C","chr16q",7530.5,16,"q"
"6478A","chr16p",6405.5,16,"p"
"6478A","chr16q",4328.83333333333,16,"q"
"6483C","chr16p",5642,16,"p"
"6483C","chr16q",126,16,"q"
"6500D","chr16p",5589,16,"p"
"6500D","chr16q",4864,16,"q"
"6605D","chr16p",5732.75,16,"p"
"6605D","chr16q",5099.93333333333,16,"q"
"2436A","chr17p",7989.25,17,"p"
"2436A","chr17q",4601.5,17,"q"
"3188","chr17p",2353,17,"p"
"3188","chr17q",2825.75,17,"q"
"3988","chr17p",4594,17,"p"
"3988","chr17q",6067,17,"q"
"6265D","chr17p",3477.16666666667,17,"p"
"6265D","chr17q",4720,17,"q"
"6266D","chr17p",4201,17,"p"
"6266D","chr17q",8153,17,"q"
"6269C","chr17p",5390,17,"p"
"6269C","chr17q",5776.25,17,"q"
"6277A","chr17p",4621,17,"p"
"6277A","chr17q",6174,17,"q"
"6285B","chr17p",2440,17,"p"
"6285B","chr17q",2066,17,"q"
"6298B","chr17p",3771,17,"p"
"6298B","chr17q",5845,17,"q"
"6314E","chr17p",7325.5,17,"p"
"6314E","chr17q",3068.66666666667,17,"q"
"6324B","chr17p",6391,17,"p"
"6324B","chr17q",4814,17,"q"
"6365A","chr17p",3855,17,"p"
"6365A","chr17q",5482.41666666667,17,"q"
"6414C","chr17p",4698.5,17,"p"
"6414C","chr17q",3439.5,17,"q"
"6423A","chr17p",5794,17,"p"
"6423A","chr17q",7706.25,17,"q"
"6436B","chr17p",8236,17,"p"
"6436B","chr17q",4493,17,"q"
"6439C","chr17p",9333.5,17,"p"
"6439C","chr17q",12546,17,"q"
"6478A","chr17p",6773.5,17,"p"
"6478A","chr17q",2927.83333333333,17,"q"
"6483C","chr17p",7103,17,"p"
"6483C","chr17q",6656,17,"q"
"6500D","chr17p",5040.5,17,"p"
"6500D","chr17q",5518,17,"q"
"6605D","chr17p",4924,17,"p"
"6605D","chr17q",4318,17,"q"
"2436A","chr18p",2265.83333333333,18,"p"
"2436A","chr18q",3629.5,18,"q"
"3188","chr18p",2226,18,"p"
"3188","chr18q",2874.25,18,"q"
"3988","chr18p",4387,18,"p"
"3988","chr18q",6042,18,"q"
"6265D","chr18p",5908.66666666667,18,"p"
"6265D","chr18q",5959,18,"q"
"6266D","chr18p",8683,18,"p"
"6266D","chr18q",5275.66666666667,18,"q"
"6269C","chr18p",5938,18,"p"
"6269C","chr18q",5185.75,18,"q"
"6277A","chr18p",6668.25,18,"p"
"6277A","chr18q",7351,18,"q"
"6285B","chr18p",2930.83333333333,18,"p"
"6285B","chr18q",4215.5,18,"q"
"6298B","chr18p",3784,18,"p"
"6298B","chr18q",5907.33333333333,18,"q"
"6314E","chr18p",3521.5,18,"p"
"6314E","chr18q",4951,18,"q"
"6324B","chr18p",5885.5,18,"p"
"6324B","chr18q",5106.5,18,"q"
"6365A","chr18p",5181,18,"p"
"6365A","chr18q",2471.5,18,"q"
"6414C","chr18p",4263,18,"p"
"6414C","chr18q",4061,18,"q"
"6423A","chr18p",4178,18,"p"
"6423A","chr18q",3048.16666666667,18,"q"
"6436B","chr18p",4542.5,18,"p"
"6436B","chr18q",4820,18,"q"
"6439C","chr18p",9677.5,18,"p"
"6439C","chr18q",4467,18,"q"
"6478A","chr18p",4144,18,"p"
"6478A","chr18q",8445.33333333333,18,"q"
"6483C","chr18p",2292.25,18,"p"
"6483C","chr18q",4160,18,"q"
"6500D","chr18p",3413.5,18,"p"
"6500D","chr18q",6245.66666666667,18,"q"
"6605D","chr18p",3692.5,18,"p"
"6605D","chr18q",5330,18,"q"
"2436A","chr19p",6319.75,19,"p"
"2436A","chr19q",4544.5,19,"q"
"3188","chr19p",3120.16666666667,19,"p"
"3188","chr19q",2957.66666666667,19,"q"
"3988","chr19p",2050.75,19,"p"
"3988","chr19q",7326.5,19,"q"
"6265D","chr19p",4000,19,"p"
