Sample_prefix	chr	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction	TL_group
6423A	chr9p	4032	9	p	4.032	Negative	Other
6423A	chr9q	4864	9	q	4.864	Negative	Other
6436B	chr9p	5468.5	9	p	5.4685	Negative	Other
6436B	chr9q	3770.5	9	q	3.7705	Negative	Other
6439C	chr9p	3033	9	p	3.033	Negative	Other
6439C	chr9q	7025.4	9	q	7.0254	Negative	Other
6478A	chr9p	4708.5	9	p	4.7085	Negative	Other
6478A	chr9q	1570	9	q	1.57	Negative	Other
6483C	chr9p	3180	9	p	3.18	Negative	Other
6500D	chr9p	5714.5	9	p	5.7145	Negative	Other
6500D	chr9q	3411	9	q	3.411	Negative	Other
6605D	chr9p	5118	9	p	5.118	Negative	Other
6605D	chr9q	5288	9	q	5.288	Negative	Other
2436A	chr10p	3611.75	10	p	3.61175	Negative	Other
2436A	chr10q	2732.75	10	q	2.73275	Positive	Other
3188	chr10p	2136	10	p	2.136	Negative	Short TL
3188	chr10q	3496.5	10	q	3.4965	Positive	Short TL
3988	chr10p	3769.75	10	p	3.76975	Negative	Other
3988	chr10q	5998.5	10	q	5.9985	Positive	Other
6265D	chr10p	4818	10	p	4.818	Negative	Other
6265D	chr10q	4609.75	10	q	4.60975	Positive	Other
6266D	chr10p	5948	10	p	5.948	Negative	Other
6266D	chr10q	5216	10	q	5.216	Positive	Other
6269C	chr10p	3778.5	10	p	3.7785	Negative	Short TL
6269C	chr10q	6423.5	10	q	6.4235	Positive	Short TL
6285B	chr10p	4350	10	p	4.35	Negative	Short TL
6285B	chr10q	3308	10	q	3.308	Positive	Short TL
6298B	chr10p	4781.5	10	p	4.7815	Negative	Other
6298B	chr10q	5977	10	q	5.977	Positive	Other
6314E	chr10p	9573	10	p	9.573	Negative	Other
6314E	chr10q	4313	10	q	4.313	Positive	Other
6324B	chr10p	5622.5	10	p	5.6225	Negative	Other
6324B	chr10q	4463	10	q	4.463	Positive	Other
6365A	chr10p	3500.66666666667	10	p	3.50066666666667	Negative	Other
6365A	chr10q	4528.75	10	q	4.52875	Positive	Other
6414C	chr10p	3418	10	p	3.418	Negative	Short TL
6414C	chr10q	3135	10	q	3.135	Positive	Short TL
6423A	chr10p	3955	10	p	3.955	Negative	Other
6423A	chr10q	4892	10	q	4.892	Positive	Other
6436B	chr10p	8161	10	p	8.161	Negative	Other
6436B	chr10q	6552	10	q	6.552	Positive	Other
6439C	chr10p	4815.5	10	p	4.8155	Negative	Other
6439C	chr10q	6709.5	10	q	6.7095	Positive	Other
6478A	chr10p	3217	10	p	3.217	Negative	Other
6478A	chr10q	3380.5	10	q	3.3805	Positive	Other
6483C	chr10p	4391	10	p	4.391	Negative	Other
6483C	chr10q	7840.5	10	q	7.8405	Positive	Other
6500D	chr10p	4404.66666666667	10	p	4.40466666666667	Negative	Other
6500D	chr10q	5336.5	10	q	5.3365	Positive	Other
6605D	chr10p	3380	10	p	3.38	Negative	Other
6605D	chr10q	5264.75	10	q	5.26475	Positive	Other
2436A	chr11p	6766	11	p	6.766	Negative	Other
2436A	chr11q	5303	11	q	5.303	Negative	Other
3188	chr11p	2651.25	11	p	2.65125	Negative	Short TL
3188	chr11q	3293	11	q	3.293	Negative	Short TL
3988	chr11p	3587	11	p	3.587	Negative	Other
3988	chr11q	5008.33333333333	11	q	5.00833333333333	Negative	Other
6265D	chr11p	4933	11	p	4.933	Negative	Other
6265D	chr11q	4069	11	q	4.069	Negative	Other
6266D	chr11p	4686.25	11	p	4.68625	Negative	Other
6266D	chr11q	6269	11	q	6.269	Negative	Other
6269C	chr11q	3914	11	q	3.914	Negative	Short TL
6277A	chr11p	3009	11	p	3.009	Negative	Other
6277A	chr11q	2569.25	11	q	2.56925	Negative	Other
6285B	chr11q	2939	11	q	2.939	Negative	Short TL
6298B	chr11p	3572	11	p	3.572	Negative	Other
6298B	chr11q	7347.5	11	q	7.3475	Negative	Other
6314E	chr11q	6660	11	q	6.66	Negative	Other
6324B	chr11p	11241.5	11	p	11.2415	Negative	Other
6324B	chr11q	7423.5	11	q	7.4235	Negative	Other
6365A	chr11q	4253.25	11	q	4.25325	Negative	Other
6414C	chr11q	3541.5	11	q	3.5415	Negative	Short TL
6423A	chr11p	6391	11	p	6.391	Negative	Other
6423A	chr11q	3274.75	11	q	3.27475	Negative	Other
6436B	chr11p	164	11	p	0.164	Negative	Other
6436B	chr11q	8697	11	q	8.697	Negative	Other
6439C	chr11p	2171	11	p	2.171	Negative	Other
6439C	chr11q	6321.25	11	q	6.32125	Negative	Other
6478A	chr11p	3144	11	p	3.144	Negative	Other
6478A	chr11q	5482.66666666667	11	q	5.48266666666667	Negative	Other
6483C	chr11p	6273.5	11	p	6.2735	Negative	Other
6483C	chr11q	3571.5	11	q	3.5715	Negative	Other
6500D	chr11q	5690	11	q	5.69	Negative	Other
6605D	chr11p	3181	11	p	3.181	Negative	Other
6605D	chr11q	2351	11	q	2.351	Negative	Other
2436A	chr12p	5319.4	12	p	5.3194	Positive	Other
2436A	chr12q	6085	12	q	6.085	Positive	Other
3188	chr12p	2473.5	12	p	2.4735	Positive	Short TL
3188	chr12q	2691	12	q	2.691	Positive	Short TL
3988	chr12p	8105	12	p	8.105	Positive	Other
3988	chr12q	4392.5	12	q	4.3925	Positive	Other
6265D	chr12p	6917	12	p	6.917	Positive	Other
