"Sample","Chr_Arm","SV_Type","SV_Count","SV_Size_Sum","SV_Rate","SV_Proportion"
"3188","chr22p","DEL",1,0.016803,0.070177300141716,0.00117918917428125
"3188","chr22q","BND",4,0.007482,0.10788852870903,0.00020180549295024
"3188","chr22q","DEL",2,0.000728,0.0539442643545148,1.96357122250434e-05
"3188","chr22q","DUP",3,0.617608,0.0809163965317722,0.0166582046097316
"3188","chr22q","INS",1,0.001638,0.0269721321772574,4.41803525063476e-05
"3188","chr3p","BND",6,0.0969,0.0637778734020693,0.00103001265544342
"3188","chr3p","DEL",5,0.032679,0.0531482278350577,0.00034736618748437
"3188","chr3p","INV",1,0.000423,0.0106296455670115,4.49634007484589e-06
"3188","chr3q","BND",6,0.04979,0.0560593453199052,0.000465199133913013
"3188","chr3q","DEL",9,0.04959,0.0840890179798578,0.000463330489069016
"3188","chr3q","INS",1,0.002049,0.0093432242199842,1.91442664267476e-05
"3188","chr4p","DEL",1,0.022401,0.0190648776643024,0.000427072324558037
"3188","chr4p","INS",2,0.000747,0.0381297553286047,1.42414636152339e-05
"3188","chr4q","BND",2,13.067684,0.0141720874487806,0.0925981802005153
"3188","chr4q","DEL",10,0.031288,0.0708604372439029,0.000221708136048723
"3188","chr4q","DUP",2,0.006905,0.0141720874487806,4.89291319169149e-05
"3188","chr4q","INS",5,0.013966,0.0354302186219514,9.89636866548347e-05
"3188","chr5p","BND",112,5351.565863,2.31798254223866,110.75746646495
"3188","chr5p","DEL",4,20.569825,0.0827850907942379,0.425718707561646
"3188","chr5p","DUP",6,33.725817,0.124177636191357,0.697998705613713
"3188","chr5p","INS",2,0.003329,0.0413925453971189,6.88978918135045e-05
"3188","chr5q","BND",180,8753.099853,1.34602022200958,65.4547189300395
"3188","chr5q","DEL",8,88.417242,0.0598231209782037,0.66117442059064
"3188","chr5q","DUP",4,125.768522,0.0299115604891019,0.940483188356985
"3188","chr5q","INS",3,0.001673,0.0224336703668264,1.25105101745669e-05
"3188","chr6p","BND",10,24.949332,0.167581246907707,0.418104016607436
"3188","chr6p","DEL",14,0.026803,0.23461374567079,0.000449168016086727
"3188","chr6p","INS",15,0.009592,0.251371870361561,0.000160743932033873
"3188","chr6q","DEL",5,0.018827,0.0444625930868849,0.000167419448009356
"3188","chr6q","INS",1,0.002893,0.00889251861737698,2.57260563600716e-05
"3188","chr7p","BND",4,0.00495,0.0644491486952229,7.97558215103384e-05
"3188","chr7p","DEL",3,0.025449,0.0483368615214172,0.000410041596286182
"3188","chr7p","DUP",1,0.00025,0.0161122871738057,4.02807179345143e-06
"3188","chr7p","INS",3,0.003144,0.0483368615214172,5.06570308744452e-05
"3188","chr7q","BND",4,0.0257,0.0406079031527499,0.000260905777756418
"3188","chr7q","DEL",8,0.052772,0.0812158063054998,0.000535740066294229
"3188","chr7q","DUP",1,0.096571,0.0101519757881875,0.000980386453841052
"3188","chr7q","INS",1,6.8e-05,0.0101519757881875,6.90334353596748e-07
"3188","chr8p","BND",2,0.31059,0.0441789232253371,0.00686076588227872
"3188","chr8p","DEL",2,0.015848,0.0441789232253371,0.000350073787637571
"3188","chr8p","INS",1,0.003081,0.0220894616126685,6.80576312286318e-05
"3188","chr8q","DEL",3,0.002649,0.0297062423955114,2.62306120352366e-05
"3188","chr8q","INS",2,0.001576,0.0198041615970076,1.5605679338442e-05
"3188","chr8q","INV",1,0.000887,0.0099020807985038,8.78314566827287e-06
"3188","chr9p","DEL",1,0.004313,0.0216135907122943,9.32194167421251e-05
"3188","chr9p","DUP",2,0.40756,0.0432271814245885,0.00880883503070265
"3188","chr9q","BND",10,0.059666,0.0958312799085831,0.000571786914702552
"3188","chr9q","DEL",2,0.003277,0.0191662559817166,3.14039104260427e-05
"3188","chr9q","DUP",2,0.192553,0.0191662559817166,0.00184526004402374
"3188","chr9q","INS",3,0.01201,0.0287493839725749,0.000115093367170208
"3988","chr1p","DEL",9,0.056217,0.0725524041379796,0.000453186500380533
"3988","chr1p","INS",3,0.000853,0.0241841347126599,6.87635563663296e-06
"3988","chr1p","INV",1,0.000834,0.00806137823755329,6.72318945011944e-06
"3988","chr1q","BND",8,135.222914,0.0643401995773476,1.08753365927381
"3988","chr1q","DEL",1,0.032202,0.00804252494716845,0.000258985388348719
"3988","chr1q","DUP",1,0.006393,0.00804252494716845,5.14158619872479e-05
"3988","chr1q","INS",2,0.003556,0.0160850498943369,2.8599218712131e-05
"3988","chr1q","INV",1,0.001196,0.00804252494716845,9.61885983681347e-06
"3988","chr10p","BND",10,0.062808,0.246007355964354,0.00154512300134091
"3988","chr10p","DEL",5,0.014128,0.123003677982177,0.000347559192506439
"3988","chr10p","DUP",1,0.00468,0.0246007355964354,0.000115131442591317
"3988","chr10p","INS",2,0.002523,0.0492014711928707,6.20676559098064e-05
"3988","chr10q","BND",8,0.183518,0.0850078615801688,0.00195005909268368
"3988","chr10q","DEL",4,0.020491,0.0425039307900844,0.000217737011454905
"3988","chr11p","DEL",2,0.011547,0.03791949891354,0.000218928226977323
"3988","chr11p","INS",1,0.000937,0.01895974945677,1.77652852409935e-05
"3988","chr11q","DEL",6,0.033935,0.072829272551123,0.00041191022733706
"3988","chr11q","DUP",1,0.013863,0.0121382120918538,0.00016827203422937
"3988","chr11q","INS",4,0.004641,0.0485528483674153,5.63334423182936e-05
"3988","chr12p","BND",1,99.649015,0.0278461059337156,2.77483702788041
"3988","chr12p","DEL",1,0.000376,0.0278461059337156,1.04701358310771e-05
"3988","chr12p","DUP",1,0.000742,0.0278461059337156,2.0661810602817e-05
"3988","chr12q","BND",3,99.649185,0.0307967475842313,1.02295693247312
"3988","chr12q","DEL",3,0.451903,0.0307967475842313,0.00463904754118562
"3988","chr12q","DUP",3,0.01932,0.0307967475842313,0.000198331054442449
"3988","chr12q","INS",1,5.1e-05,0.0102655825280771,5.23544708931931e-07
"3988","chr13q","DEL",1,7.6e-05,0.0103046312805079,7.831519773186e-07
"3988","chr13q","INS",1,0.000304,0.0103046312805079,3.1326079092744e-06
"3988","chr14p","DEL",3,0.027205,0.26315186994403,0.00238634887394245
"3988","chr14p","INS",1,0.00689,0.0877172899813434,0.000604372127971456
"3988","chr14q","DEL",3,0.000396,0.0334220015320423,4.41170420222958e-06
"3988","chr14q","INS",1,0.002929,0.0111406671773474,3.26310141624506e-05
"3988","chr15q","DEL",4,0.017469,0.0484457600967171,0.000211574745782388
"3988","chr16p","DEL",1,0.022031,0.0271452165663022,0.000598036266172204
"3988","chr16p","INS",2,0.00128,0.0542904331326044,3.47458772048668e-05
"3988","chr16q","BND",4,0.073528,0.0672365287454398,0.00123594187139867
"3988","chr16q","DEL",2,0.023486,0.0336182643727199,0.00039477927852885
"3988","chr16q","INV",2,0.001093,0.0336182643727199,1.83723814796914e-05
"3988","chr17p","DEL",1,0.000478,0.0389261383919978,1.8606694151375e-05
"3988","chr17p","INS",1,0.000106,0.0389261383919978,4.12617066955177e-06
"3988","chr17q","BND",2,0.001676,0.034137138923374,2.86069224177874e-05
"3988","chr17q","DEL",6,38.688226,0.102411416770122,0.660352672830446
"3988","chr17q","INS",2,0.003845,0.034137138923374,6.56286495801866e-05
"3988","chr18p","BND",2,0.163928,0.108403293205325,0.00888516752428125
"3988","chr18q","DEL",3,0.008937,0.0483146917537161,0.00014392946673432
"3988","chr18q","INS",4,0.007252,0.0644195890049547,0.000116792714865983
"3988","chr19p","BND",2,0.000262,0.0719607649760337,9.42686021186041e-06
"3988","chr19p","INS",2,0.005141,0.0719607649760337,0.000184975146370895
"3988","chr2p","BND",9,165.553331,0.0962533048171154,1.7705616924702
"3988","chr2p","DEL",5,0.081997,0.0534740582317308,0.000876942470565445
"3988","chr2p","INS",1,0.00396,0.0106948116463462,4.23514541195308e-05
"3988","chr2q","BND",15,98.523617,0.100540594039006,0.660374865336766
"3988","chr2q","DEL",4,0.033062,0.0268108250770682,0.000221604874674507
"3988","chr2q","DUP",1,0.338006,0.00670270626926705,0.00226555493524988
"3988","chr2q","INS",1,0.000333,0.00670270626926705,2.23200118766593e-06
"3988","chr20p","BND",2,0.330992,0.0713960530762542,0.0118157611999078
"3988","chr20p","INV",1,0.000618,0.0356980265381271,2.20613804005626e-05
"3988","chr20q","DEL",3,0.004715,0.0785391672994742,0.00012343739127234
"3988","chr20q","INS",1,0.002314,0.0261797224331581,6.05798777103278e-05
"3988","chr21q","BND",6,11.328292,0.176698461689697,0.333615294995284
"3988","chr21q","DEL",1,0.001427,0.0294497436149496,4.2024784138533e-05
"3988","chr21q","INS",1,0.000329,0.0294497436149496,9.6889656493184e-06
"3988","chr22q","DEL",1,0.000539,0.0269721321772574,1.45379792435417e-05
"3988","chr3p","BND",6,13.799344,0.0637778734020693,0.146682135777267
"3988","chr3p","DEL",4,0.022396,0.0425185822680462,0.000238061542118791
"3988","chr3p","INS",1,7.9e-05,0.0106296455670115,8.39741999793912e-07
"3988","chr3q","BND",22,288.440436,0.205550932839652,2.694963667658
"3988","chr3q","DEL",5,0.101208,0.046716121099921,0.000945609036856161
"3988","chr3q","INS",1,0.002042,0.0093432242199842,1.90788638572077e-05
"3988","chr4p","DEL",3,0.14717,0.0571946329929071,0.00280577804585538
"3988","chr4p","INS",1,0.000682,0.0190648776643024,1.30022465670542e-05
"3988","chr4q","BND",6,0.033764,0.0425162623463417,0.000239253180310314
